Team,Elo_Rating
Spain,1990.0663793940562
Argentina,1951.2408826675173
France,1918.888179570042
England,1893.9939856144824
Japan,1875.2269088013884
Brazil,1863.4530858320638
Portugal,1845.5300161079483
Colombia,1844.244146770604
Netherlands,1843.187810659579
Morocco,1842.024672664051
Germany,1829.5539384120789
Iran,1821.7741127780002
Mexico,1815.942769356394
Ecuador,1807.2735365142985
Australia,1795.7264203906245
Senegal,1794.763419335117
South Korea,1794.6314376483579
Uruguay,1791.262758275566
Croatia,1788.175449620485
Switzerland,1775.275033482878
Belgium,1773.8713916620254
Uzbekistan,1771.0837099829105
Nigeria,1762.8681965419335
Canada,1760.942444561985
Norway,1760.9305205931914
United States,1755.0137030679407
Italy,1754.3616293298849
Turkey,1750.1641805099443
Denmark,1743.1235411725322
Panama,1739.4609777950611
Algeria,1738.5658755102954
Egypt,1727.4624307477304
Ivory Coast,1725.6546869573872
Jersey,1715.6735852089066
Jordan,1710.1284528290294
Paraguay,1709.057530265058
Austria,1704.3656668651774
Iraq,1703.9381163194485
New Zealand,1699.3281515856947
Russia,1696.3107718710557
Tunisia,1692.4825333397778
Costa Rica,1692.162221180873
DR Congo,1681.8842729366445
Guernsey,1680.852981763606
Scotland,1667.7663234092252
Cameroon,1667.5489664951424
United Arab Emirates,1665.132313805469
Ukraine,1662.2535256802819
Haiti,1662.2319130517728
Saudi Arabia,1661.9743738875932
Serbia,1656.3982802644705
Mali,1655.9455026597043
Honduras,1645.2496575468922
Greece,1643.9775403357205
Venezuela,1641.5251825513476
Poland,1636.9784031712104
Jamaica,1636.7884860581182
Chile,1632.537908859562
Isle of Man,1629.8591588864867
Czech Republic,1628.9732318211898
Guatemala,1626.9705796910887
Wales,1626.4633151941366
Hungary,1624.6002123885978
Padania,1623.485693242998
Peru,1620.1591832762654
Burkina Faso,1618.4102686753135
Ghana,1618.0024148496823
Qatar,1617.9139413836388
Syria,1617.3125787350987
South Africa,1615.3839858684412
Cape Verde,1614.5258977882954
Sweden,1614.1036064372727
Oman,1606.6125516817324
Northern Cyprus,1606.1181583150537
Republic of Ireland,1600.4182409127886
Curaçao,1598.1187685291468
Slovenia,1593.4108894293981
New Caledonia,1590.5319615935668
Bolivia,1587.683408104928
Kosovo,1584.8091734667155
Slovakia,1579.3723962004374
Palestine,1576.7431105933922
Isle of Wight,1570.5603443759207
China PR,1569.6901223373075
Thailand,1567.2232847046355
Réunion,1566.3627921464658
Iraqi Kurdistan,1564.3817612196633
Georgia,1564.0206263148716
Romania,1563.691090916218
Abkhazia,1561.614969902324
Bahrain,1560.8686579422622
Suriname,1559.9153989997906
Occitania,1558.8745806767229
Ynys Môn,1558.073779610062
Albania,1550.2906362207132
Guadeloupe,1549.4337999179024
Guinea,1548.3107868442964
Angola,1547.833611998654
Trinidad and Tobago,1547.0649336290367
Menorca,1545.1442868150618
Kárpátalja,1542.3632099227514
North Korea,1538.4159177212446
Gabon,1537.6350230807197
Israel,1537.0832731104053
Czechoslovakia,1533.638230460349
Rhodes,1532.5556164170682
County of Nice,1530.9601214966192
Bosnia and Herzegovina,1530.8369402666453
Uganda,1530.4282577176011
Ellan Vannin,1530.007178829631
Tamil Eelam,1529.7958477597017
Dominican Republic,1528.3047384343404
Libya,1526.151823912507
Zambia,1526.039545651468
Kurdistan,1523.330528968918
Panjab,1522.514586093679
El Salvador,1522.3534209128159
Tajikistan,1522.0931719905402
Benin,1521.7477847222056
Artsakh,1521.4290970400534
Chameria,1519.6312375874518
Nicaragua,1518.2497874005871
Lebanon,1516.8410473365966
Fiji,1516.7548422447958
North Macedonia,1516.3368967028753
Arameans Suryoye,1513.5975027103557
Tahiti,1513.0420496385434
Basque Country,1513.0413770954963
Quebec,1512.948077305884
Cascadia,1511.1438951744278
Guyana,1511.0205166344977
Maule Sur,1509.9647761938281
Northern Ireland,1509.5374891075014
Martinique,1509.0428635151259
Shetland,1508.0684992583156
Zanzibar,1507.3593120115174
Corsica,1506.9397726093925
Kuwait,1506.0689503965016
Western Armenia,1504.938438505562
Parishes of Jersey,1504.700223461216
Kernow,1504.2804543838674
Yorkshire,1504.2372132488015
