Team,Make_R32%,Make_R16%,Make_QF%,Make_SF%,Make_F%,Win_WC%
Spain,96.0,70.0,47.2,36.6,26.0,16.0
Argentina,92.7,61.2,43.5,31.0,17.6,10.0
France,88.0,59.0,34.9,22.9,14.5,8.8
Japan,88.4,51.7,31.7,17.6,10.0,5.4
England,88.7,55.6,32.3,18.1,9.8,5.3
Brazil,86.3,49.9,31.6,18.2,9.2,5.1
Morocco,83.2,44.3,25.6,14.4,7.3,3.9
Netherlands,83.7,44.3,25.6,13.5,7.1,3.8
Germany,84.0,50.8,26.8,14.6,7.5,3.8
Ecuador,81.5,46.2,23.3,12.3,6.0,3.1
Mexico,91.7,55.2,28.4,13.8,7.0,3.1
Portugal,79.7,47.7,25.3,13.0,6.5,3.0
Colombia,79.3,48.4,25.6,13.1,6.6,3.0
South Korea,80.7,48.4,26.0,10.8,5.2,2.5
Iran,80.4,46.9,23.9,10.3,4.9,2.1
Australia,74.0,43.2,20.8,9.4,4.5,2.0
Switzerland,84.3,45.4,23.8,9.0,4.0,1.6
Senegal,69.5,35.9,16.0,7.7,3.4,1.6
Canada,90.1,46.3,21.6,9.0,3.8,1.5
Croatia,75.0,35.7,16.8,7.5,3.3,1.5
Uruguay,76.5,34.5,18.1,9.1,3.6,1.4
United States,77.5,40.4,18.8,8.0,3.1,1.4
Uzbekistan,66.0,33.1,15.1,7.1,3.0,1.2
Belgium,71.0,37.8,16.5,6.7,2.8,1.1
Norway,61.9,28.4,12.0,5.4,2.3,1.1
Turkey,63.4,33.0,14.6,5.8,2.4,0.9
Ivory Coast,66.6,31.7,13.3,5.6,2.3,0.8
Algeria,61.3,23.0,10.9,5.0,1.7,0.7
Panama,66.0,27.0,11.1,4.7,1.8,0.6
Paraguay,54.5,26.0,9.9,3.6,1.3,0.5
Egypt,62.3,28.6,11.3,4.0,1.5,0.5
Iraq,49.6,19.6,6.9,2.7,0.9,0.4
Tunisia,56.6,19.5,7.8,3.1,1.1,0.4
New Zealand,56.0,24.5,9.2,3.3,0.9,0.3
Jordan,55.7,19.8,9.0,3.6,1.2,0.3
Haiti,48.3,15.3,5.5,1.9,0.5,0.2
DR Congo,45.0,18.2,6.2,2.2,0.7,0.2
Saudi Arabia,49.0,15.4,5.9,2.1,0.5,0.2
Scotland,49.4,16.4,6.8,2.4,0.7,0.2
Austria,54.3,18.0,7.7,2.8,0.9,0.2
Czech Republic,48.2,18.4,6.2,1.5,0.4,0.1
South Africa,43.8,16.5,5.2,1.2,0.4,0.1
Qatar,55.2,18.4,6.6,1.5,0.5,0.1
Cape Verde,38.1,10.1,3.4,1.1,0.2,0.1
Ghana,38.1,10.6,3.0,0.9,0.3,0.1
Curaçao,36.9,11.6,3.1,0.8,0.2,0.0
Bosnia and Herzegovina,34.5,8.5,2.4,0.4,0.1,0.0
Sweden,37.1,9.5,2.9,0.9,0.2,0.0
